Senator,Party,Organization,Total,PACs,Individuals
"Blackburn, Marsha",(R),Treemont Capital,16400,0,16400
"Blackburn, Marsha",(R),Volunteer Lumber Sales,16400,0,16400
"Blumenthal, Richard",(D),Granite Telecommunications,100500,0,100500
"Blumenthal, Richard",(D),Charter Communications,76714,42000,34714
"Blumenthal, Richard",(D),RTX Corp,67678,44000,23678
"Blumenthal, Richard",(D),General Dynamics,63797,40000,23797
"Blumenthal, Richard",(D),"Early, Lucarelli et al",60142,0,60142
"Blumenthal, Richard",(D),Deloitte LLP,48808,40000,8808
"Blumenthal, Richard",(D),Altice USA,44855,16000,28855
"Blumenthal, Richard",(D),BlackRock Inc,44300,5000,39300
"Blumenthal, Richard",(D),UBS AG,42415,30000,12415
"Blumenthal, Richard",(D),Yale University,42264,0,42264
"Blumenthal, Richard",(D),Creative Artists Agency,41200,0,41200
"Blumenthal, Richard",(D),Microsoft Corp,40426,18500,21926
"Blumenthal, Richard",(D),Honeywell International,37750,36500,1250
"Blumenthal, Richard",(D),"Koskoff, Koskoff & Bieder",37702,0,37702
"Blumenthal, Richard",(D),Wirtz Corp,35500,0,35500
"Blumenthal, Richard",(D),International Brotherhood of Electrical Workers,35053,35000,53
"Blumenthal, Richard",(D),Crawford Group,33600,20000,13600
"Blumenthal, Richard",(D),Pfizer Inc,33473,30800,2673
"Blumenthal, Richard",(D),Harvard University,33396,0,33396
"Blumenthal, Richard",(D),American College of Emergency Physicians,32500,32500,0
"Blumenthal, Richard",(D),National Beer Wholesalers Assn,32500,32500,0
"Blumenthal, Richard",(D),Lockheed Martin,31339,31000,339
"Blumenthal, Richard",(D),American Assn for Justice,31000,30000,1000
"Blumenthal, Richard",(D),Mashantucket Pequot Tribal Nation,30783,0,30783
"Blumenthal, Richard",(D),Simmons Hanly Conroy,30600,0,30600
"Blumenthal, Richard",(D),National Air Traffic Controllers Assn,30500,30500,0
"Blumenthal, Richard",(D),Foster & Foster,30300,0,30300
"Blumenthal, Richard",(D),Enterprise Holdings,30200,27500,2700
"Blumenthal, Richard",(D),Intellectual Ventures LLC,29750,14000,15750
"Blumenthal, Richard",(D),Motley Rice LLC,29250,0,29250
